NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
42,1,421,Golbat,Poison,Flying,1,0,0,1.6,55,75,80,70,65,75,90,455
43,1,431,Oddish,Grass,Poison,1,0,0,0.5,5.4,45,50,55,75,65,30,320
44,1,441,Gloom,Grass,Poison,1,0,0,0.8,8.6,60,65,70,85,75,40,395
45,1,451,Vileplume,Grass,Poison,1,0,0,1.2,18.6,75,80,85,110,90,50,490
46,1,461,Paras,Bug,Grass,1,0,0,0.3,5.4,35,70,55,45,55,25,285
47,1,471,Parasect,Bug,Grass,1,0,0,1.0,29.5,60,95,80,60,80,30,405
48,1,481,Venonat,Bug,Poison,1,0,0,1.0,30,60,55,50,40,55,45,305
49,1,491,Venomoth,Bug,Poison,1,0,0,1.5,12.5,70,65,60,90,75,90,450
50,1,501,Diglett,Ground,,1,0,0,0.2,0.8,10,55,25,35,45,95,265
50,2,502,Diglett,Ground,Steel,7,0,0,0.2,1,10,55,30,35,45,90,265
51,1,511,Dugtrio,Ground,,1,0,0,0.7,33.3,35,100,50,50,70,120,425
51,2,512,Dugtrio,Ground,Steel,7,0,0,0.7,66.6,35,100,60,50,70,110,425
52,1,521,Meowth,Normal,,1,0,0,0.4,4.2,40,45,35,40,40,90,290
52,2,522,Meowth,Dark,,7,0,0,0.4,4.2,40,35,35,50,40,90,290
52,3,523,Meowth,Steel,,8,0,0,0.4,7.5,50,65,55,40,40,40,290
53,1,531,Persian,Normal,,1,0,0,1.0,32,65,70,60,65,65,115,440
53,2,532,Persian,Dark,,7,0,0,1.1,33,65,60,60,75,65,115,440
54,1,541,Psyduck,Water,,1,0,0,0.8,19.6,50,52,48,65,50,55,320
55,1,551,Golduck,Water,,1,0,0,1.7,76.6,80,82,78,95,80,85,500
56,1,561,Mankey,Fighting,,1,0,0,0.5,28,40,80,35,35,45,70,305
57,1,571,Primeape,Fighting,,1,0,0,1.0,32,65,105,60,60,70,95,455
58,1,581,Growlithe,Fire,,1,0,0,0.7,19,55,70,45,70,50,60,350
59,1,591,Arcanine,Fire,,1,0,0,1.9,155,90,110,80,100,80,95,555
60,1,601,Poliwag,Water,,1,0,0,0.6,12.4,40,50,40,40,40,90,300
61,1,611,Poliwhirl,Water,,1,0,0,1.0,20,65,65,65,50,50,90,385
62,1,621,Poliwrath,Water,Fighting,1,0,0,1.3,54,90,95,95,70,90,70,510
63,1,631,Abra,Psychic,,1,0,0,0.9,19.5,25,20,15,105,55,90,310
64,1,641,Kadabra,Psychic,,1,0,0,1.3,56.5,40,35,30,120,70,105,400
65,1,651,Alakazam,Psychic,,1,0,0,1.5,48,55,50,45,135,95,120,500
65,2,652,Mega Alakazam,Psychic,,1,0,1,1.2,48,55,50,65,175,95,150,590
66,1,661,Machop,Fighting,,1,0,0,0.8,19.5,70,80,50,35,35,35,305
67,1,671,Machoke,Fighting,,1,0,0,1.5,70.5,80,100,70,50,60,45,405
68,1,681,Machamp,Fighting,,1,0,0,1.6,130,90,130,80,65,85,55,505
69,1,691,Bellsprout,Grass,Poison,1,0,0,0.7,4,50,75,35,70,30,40,300
70,1,701,Weepinbell,Grass,Poison,1,0,0,1.0,6.4,65,90,50,85,45,55,390
71,1,711,Victreebel,Grass,Poison,1,0,0,1.7,15.5,80,105,65,100,70,70,490
72,1,721,Tentacool,Water,Poison,1,0,0,0.9,45.5,40,40,35,50,100,70,335
73,1,731,Tentacruel,Water,Poison,1,0,0,1.6,55,80,70,65,80,120,100,515
74,1,741,Geodude,Rock,Ground,1,0,0,0.4,20,40,80,100,30,30,20,300
74,2,742,Geodude,Rock,Electric,7,0,0,0.4,20.3,40,80,100,30,30,20,300
75,1,751,Graveler,Rock,Ground,1,0,0,1.0,105,55,95,115,45,45,35,390
75,2,752,Graveler,Rock,Electric,7,0,0,1.0,110,55,95,115,45,45,35,390
76,1,761,Golem,Rock,Ground,1,0,0,1.4,300,80,120,130,55,65,45,495
76,2,762,Golem,Rock,Electric,7,0,0,1.7,316,80,120,130,55,65,45,495
77,1,771,Ponyta,Fire,,1,0,0,1.0,30,50,85,55,65,65,90,410
77,2,772,Ponyta,Psychic,,8,0,0,0.8,24,50,85,55,65,65,90,410
78,1,781,Rapidash,Fire,,1,0,0,1.7,95,65,100,70,80,80,105,500
78,2,782,Rapidash,Psychic,Fairy,8,0,0,1.7,80,65,100,70,80,80,105,500
79,1,791,Slowpoke,Water,Psychic,1,0,0,1.2,36,90,65,65,40,40,15,315
79,2,792,Slowpoke,Psychic,,8,0,0,1.2,36,90,65,65,40,40,15,315
80,1,801,Slowbro,Water,Psychic,1,0,0,1.6,78.5,95,75,110,100,80,30,490
80,2,802,Mega Slowbro,Water,Psychic,1,0,1,2.0,120,95,75,180,130,80,30,590
81,1,811,Magnemite,Electric,Steel,1,0,0,0.3,6,25,35,70,95,55,45,325
82,1,821,Magneton,Electric,Steel,1,0,0,1.0,60,50,60,95,120,70,70,465
83,1,831,Farfetch'd,Normal,Flying,1,0,0,0.8,15,52,90,55,58,62,60,377
83,2,832,Farfetch'd,Fighting,,8,0,0,0.8,42,52,95,55,58,62,55,377
84,1,841,Doduo,Normal,Flying,1,0,0,1.4,39.2,35,85,45,35,35,75,310
85,1,851,Dodrio,Normal,Flying,1,0,0,1.8,85.2,60,110,70,60,60,110,470
86,1,861,Seel,Water,,1,0,0,1.1,90,65,45,55,45,70,45,325
87,1,871,Dewgong,Water,Ice,1,0,0,1.7,120,90,70,80,70,95,70,475
88,1,881,Grimer,Poison,,1,0,0,0.9,30,80,80,50,40,50,25,325
88,2,882,Grimer,Poison,Dark,7,0,0,0.7,42,80,80,50,40,50,25,325
89,1,891,Muk,Poison,,1,0,0,1.2,30,105,105,75,65,100,50,500
89,2,892,Muk,Poison,Dark,7,0,0,1.0,52,105,105,75,65,100,50,500
90,1,901,Shellder,Water,,1,0,0,0.3,4,30,65,100,45,25,40,305
91,1,911,Cloyster,Water,Ice,1,0,0,1.5,132.5,50,95,180,85,45,70,525
92,1,921,Gastly,Ghost,Poison,1,0,0,1.3,0.1,30,35,30,100,35,80,310
93,1,931,Haunter,Ghost,Poison,1,0,0,1.6,0.1,45,50,45,115,55,95,405
94,1,941,Gengar,Ghost,Poison,1,0,0,1.5,40.5,60,65,60,130,75,110,500
94,2,942,Mega Gengar,Ghost,Poison,1,0,1,1.4,40.5,60,65,80,170,95,130,600
95,1,951,Onix,Rock,Ground,1,0,0,8.8,210,35,45,160,30,45,70,385
96,1,961,Drowzee,Psychic,,1,0,0,1.0,32.4,60,48,45,43,90,42,328
97,1,971,Hypno,Psychic,,1,0,0,1.6,75.6,85,73,70,73,115,67,483
98,1,981,Krabby,Water,,1,0,0,0.4,6.5,30,105,90,25,25,50,325
99,1,991,Kingler,Water,,1,0,0,1.3,60,55,130,115,50,50,75,475
100,1,1001,Voltorb,Electric,,1,0,0,0.5,10.4,40,30,50,55,55,100,330
101,1,1011,Electrode,Electric,,1,0,0,1.2,66.6,60,50,70,80,80,150,490
102,1,1021,Exeggcute,Grass,Psychic,1,0,0,0.4,2.5,60,40,80,60,45,40,325
103,1,1031,Exeggutor,Grass,Psychic,1,0,0,2.0,120,95,95,85,125,75,55,530
103,2,1032,Exeggutor,Grass,Dragon,7,0,0,10.9,415.6,95,105,85,125,75,45,530
104,1,1041,Cubone,Ground,,1,0,0,0.4,6.5,50,50,95,40,50,35,320
105,1,1051,Marowak,Ground,,1,0,0,1.0,45,60,80,110,50,80,45,425
105,2,1052,Marowak,Fire,Ghost,7,0,0,1.0,34,60,80,110,50,80,45,425
106,1,1061,Hitmonlee,Fighting,,1,0,0,1.5,49.8,50,120,53,35,110,87,455
107,1,1071,Hitmonchan,Fighting,,1,0,0,1.4,50.2,50,105,79,35,110,76,455
108,1,1081,Lickitung,Normal,,1,0,0,1.2,65.5,90,55,75,60,75,30,385
109,1,1091,Koffing,Poison,,1,0,0,0.6,1,40,65,95,60,45,35,340
110,1,1101,Weezing,Poison,,1,0,0,1.2,9.5,65,90,120,85,70,60,490
110,2,1102,Weezing,Poison,Fairy,8,0,0,3.0,16,65,90,120,85,70,60,490
111,1,1111,Rhyhorn,Ground,Rock,1,0,0,1.0,115,80,85,95,30,30,25,345
112,1,1121,Rhydon,Ground,Rock,1,0,0,1.9,120,105,130,120,45,45,40,485
113,1,1131,Chansey,Normal,,1,0,0,1.1,34.6,250,5,5,35,105,50,450
114,1,1141,Tangela,Grass,,1,0,0,1.0,35,65,55,115,100,40,60,435
115,1,1151,Kangaskhan,Normal,,1,0,0,2.2,80,105,95,80,40,80,90,490
115,2,1152,Mega Kangaskhan,Normal,,1,0,1,2.2,100,105,125,100,60,100,100,590
116,1,1161,Horsea,Water,,1,0,0,0.4,8,30,40,70,70,25,60,295
117,1,1171,Seadra,Water,,1,0,0,1.2,25,55,65,95,95,45,85,440
118,1,1181,Goldeen,Water,,1,0,0,0.6,15,45,67,60,35,50,63,320
119,1,1191,Seaking,Water,,1,0,0,1.3,39,80,92,65,65,80,68,450
120,1,1201,Staryu,Water,,1,0,0,0.8,34.5,30,45,55,70,55,85,340
121,1,1211,Starmie,Water,Psychic,1,0,0,1.1,80,60,75,85,100,85,115,520
122,1,1221,Mr. Mime,Psychic,Fairy,1,0,0,1.3,54.5,40,45,65,100,120,90,460
122,2,1222,Mr. Mime,Psychic,Ice,8,0,0,1.4,56.8,50,65,65,90,90,100,460
123,1,1231,Scyther,Bug,Flying,1,0,0,1.5,56,70,110,80,55,80,105,500
124,1,1241,Jynx,Ice,Psychic,1,0,0,1.4,40.6,65,50,35,115,95,95,455
125,1,1251,Electabuzz,Electric,,1,0,0,1.1,30,65,83,57,95,85,105,490
126,1,1261,Magmar,Fire,,1,0,0,1.3,44.5,65,95,57,100,85,93,495
127,1,1271,Pinsir,Bug,,1,0,0,1.5,55,65,125,100,55,70,85,500
127,2,1272,Mega Pinsir,Bug,Flying,1,0,1,1.7,59,65,155,120,65,90,105,600
128,1,1281,Tauros,Normal,,1,0,0,1.4,88.4,75,100,95,40,70,110,490
129,1,1291,Magikarp,Water,,1,0,0,0.9,10,20,10,55,15,20,80,200
130,1,1301,Gyarados,Water,Flying,1,0,0,6.5,235,95,125,79,60,100,81,540
130,2,1302,Mega Gyarados,Water,Dark,1,0,1,6.5,305,95,155,109,70,130,81,640
131,1,1311,Lapras,Water,Ice,1,0,0,2.5,220,130,85,80,85,95,60,535
132,1,1321,Ditto,Normal,,1,0,0,0.3,4,48,48,48,48,48,48,288
133,1,1331,Eevee,Normal,,1,0,0,0.3,6.5,55,55,50,45,65,55,325
134,1,1341,Vaporeon,Water,,1,0,0,1.0,29,130,65,60,110,95,65,525
135,1,1351,Jolteon,Electric,,1,0,0,0.8,24.5,65,65,60,110,95,130,525
136,1,1361,Flareon,Fire,,1,0,0,0.9,25,65,130,60,95,110,65,525
137,1,1371,Porygon,Normal,,1,0,0,0.8,36.5,65,60,70,85,75,40,395
138,1,1381,Omanyte,Rock,Water,1,0,0,0.4,7.5,35,40,100,90,55,35,355
139,1,1391,Omastar,Rock,Water,1,0,0,1.0,35,70,60,125,115,70,55,495
140,1,1401,Kabuto,Rock,Water,1,0,0,0.5,11.5,30,80,90,55,45,55,355
141,1,1411,Kabutops,Rock,Water,1,0,0,1.3,40.5,60,115,105,65,70,80,495
142,1,1421,Aerodactyl,Rock,Flying,1,0,0,1.8,59,80,105,65,60,75,130,515
142,2,1422,Mega Aerodactyl,Rock,Flying,1,0,1,2.1,79,80,135,85,70,95,150,615
143,1,1431,Snorlax,Normal,,1,0,0,2.1,460,160,110,65,65,110,30,540
144,1,1441,Articuno,Ice,Flying,1,1,0,1.7,55.4,90,85,100,95,125,85,580
145,1,1451,Zapdos,Electric,Flying,1,1,0,1.6,52.6,90,90,85,125,90,100,580
146,1,1461,Moltres,Fire,Flying,1,1,0,2.0,60,90,100,90,125,85,90,580
147,1,1471,Dratini,Dragon,,1,0,0,1.8,3.3,41,64,45,50,50,50,300
148,1,1481,Dragonair,Dragon,,1,0,0,4.0,16.5,61,84,65,70,70,70,420
149,1,1491,Dragonite,Dragon,Flying,1,0,0,2.2,210,91,134,95,100,100,80,600
150,1,1501,Mewtwo,Psychic,,1,1,0,2.0,122,106,110,90,154,90,130,680
150,2,1502,Mega Mewtwo X,Psychic,Fighting,1,1,1,2.3,127,106,190,100,154,100,130,780
150,3,1503,Mega Mewtwo Y,Psychic,,1,1,1,1.5,33,106,150,70,194,120,140,780
151,1,1511,Mew,Psychic,,1,1,0,0.4,4,100,100,100,100,100,100,600
152,1,1521,Chikorita,Grass,,2,0,0,0.9,6.4,45,49,65,49,65,45,318
153,1,1531,Bayleef,Grass,,2,0,0,1.2,15.8,60,62,80,63,80,60,405
154,1,1541,Meganium,Grass,,2,0,0,1.8,100.5,80,82,100,83,100,80,525
155,1,1551,Cyndaquil,Fire,,2,0,0,0.5,7.9,39,52,43,60,50,65,309
156,1,1561,Quilava,Fire,,2,0,0,0.9,19,58,64,58,80,65,80,405
157,1,1571,Typhlosion,Fire,,2,0,0,1.7,79.5,78,84,78,109,85,100,534
158,1,1581,Totodile,Water,,2,0,0,0.6,9.5,50,65,64,44,48,43,314
159,1,1591,Croconaw,Water,,2,0,0,1.1,25,65,80,80,59,63,58,405
160,1,1601,Feraligatr,Water,,2,0,0,2.3,88.8,85,105,100,79,83,78,530
161,1,1611,Sentret,Normal,,2,0,0,0.8,6,35,46,34,35,45,20,215
162,1,1621,Furret,Normal,,2,0,0,1.8,32.5,85,76,64,45,55,90,415
163,1,1631,Hoothoot,Normal,Flying,2,0,0,0.7,21.2,60,30,30,36,56,50,262
164,1,1641,Noctowl,Normal,Flying,2,0,0,1.6,40.8,100,50,50,86,96,70,452
165,1,1651,Ledyba,Bug,Flying,2,0,0,1.0,10.8,40,20,30,40,80,55,265
166,1,1661,Ledian,Bug,Flying,2,0,0,1.4,35.6,55,35,50,55,110,85,390
167,1,1671,Spinarak,Bug,Poison,2,0,0,0.5,8.5,40,60,40,40,40,30,250
168,1,1681,Ariados,Bug,Poison,2,0,0,1.1,33.5,70,90,70,60,70,40,400
169,1,1691,Crobat,Poison,Flying,2,0,0,1.8,75,85,90,80,70,80,130,535
170,1,1701,Chinchou,Water,Electric,2,0,0,0.5,12,75,38,38,56,56,67,330
171,1,1711,Lanturn,Water,Electric,2,0,0,1.2,22.5,125,58,58,76,76,67,460
172,1,1721,Pichu,Electric,,2,0,0,0.3,2,20,40,15,35,35,60,205
173,1,1731,Cleffa,Fairy,,2,0,0,0.3,3,50,25,28,45,55,15,218
174,1,1741,Igglybuff,Normal,Fairy,2,0,0,0.3,1,90,30,15,40,20,15,210
175,1,1751,Togepi,Fairy,,2,0,0,0.3,1.5,35,20,65,40,65,20,245
176,1,1761,Togetic,Fairy,Flying,2,0,0,0.6,3.2,55,40,85,80,105,40,405
177,1,1771,Natu,Psychic,Flying,2,0,0,0.2,2,40,50,45,70,45,70,320
178,1,1781,Xatu,Psychic,Flying,2,0,0,1.5,15,65,75,70,95,70,95,470
179,1,1791,Mareep,Electric,,2,0,0,0.6,7.8,55,40,40,65,45,35,280
180,1,1801,Flaaffy,Electric,,2,0,0,0.8,13.3,70,55,55,80,60,45,365
181,1,1811,Ampharos,Electric,,2,0,0,1.4,61.5,90,75,85,115,90,55,510
181,2,1812,Mega Ampharos,Electric,Dragon,2,0,1,1.4,61.5,90,95,105,165,110,45,610
182,1,1821,Bellossom,Grass,,2,0,0,0.4,5.8,75,80,95,90,100,50,490
183,1,1831,Marill,Water,Fairy,2,0,0,0.4,8.5,70,20,50,20,50,40,250
184,1,1841,Azumarill,Water,Fairy,2,0,0,0.8,28.5,100,50,80,60,80,50,420
185,1,1851,Sudowoodo,Rock,,2,0,0,1.2,38,70,100,115,30,65,30,410
186,1,1861,Politoed,Water,,2,0,0,1.1,33.9,90,75,75,90,100,70,500
187,1,1871,Hoppip,Grass,Flying,2,0,0,0.4,0.5,35,35,40,35,55,50,250
188,1,1881,Skiploom,Grass,Flying,2,0,0,0.6,1,55,45,50,45,65,80,340
189,1,1891,Jumpluff,Grass,Flying,2,0,0,0.6,3,75,55,70,55,95,110,460
190,1,1901,Aipom,Normal,,2,0,0,0.6,11.5,55,70,55,40,55,85,360
191,1,1911,Sunkern,Grass,,2,0,0,0.3,1.8,30,30,30,30,30,30,180
192,1,1921,Sunflora,Grass,,2,0,0,0.8,8.5,75,75,55,105,85,30,425
193,1,1931,Yanma,Bug,Flying,2,0,0,1.2,38,65,65,45,75,45,95,390
194,1,1941,Wooper,Water,Ground,2,0,0,0.4,8.5,55,45,45,25,25,15,210
195,1,1951,Quagsire,Water,Ground,2,0,0,1.4,75,95,85,85,65,65,35,430
196,1,1961,Espeon,Psychic,,2,0,0,0.9,26.5,65,65,60,130,95,110,525
197,1,1971,Umbreon,Dark,,2,0,0,1.0,27,95,65,110,60,130,65,525
198,1,1981,Murkrow,Dark,Flying,2,0,0,0.5,2.1,60,85,42,85,42,91,405
199,1,1991,Slowking,Water,Psychic,2,0,0,2.0,79.5,95,75,80,100,110,30,490
200,1,2001,Misdreavus,Ghost,,2,0,0,0.7,1,60,60,60,85,85,85,435
201,1,2011,Unown,Psychic,,2,0,0,0.5,5,48,72,48,72,48,48,336
202,1,2021,Wobbuffet,Psychic,,2,0,0,1.3,28.5,190,33,58,33,58,33,405
203,1,2031,Girafarig,Normal,Psychic,2,0,0,1.5,41.5,70,80,65,90,65,85,455
204,1,2041,Pineco,Bug,,2,0,0,0.6,7.2,50,65,90,35,35,15,290
205,1,2051,Forretress,Bug,Steel,2,0,0,1.2,125.8,75,90,140,60,60,40,465
206,1,2061,Dunsparce,Normal,,2,0,0,1.5,14,100,70,70,65,65,45,415
207,1,2071,Gligar,Ground,Flying,2,0,0,1.1,64.8,65,75,105,35,65,85,430
208,1,2081,Steelix,Steel,Ground,2,0,0,9.2,400,75,85,200,55,65,30,510
208,2,2082,Mega Steelix,Steel,Ground,2,0,1,10.5,740,75,125,230,55,95,30,610
209,1,2091,Snubbull,Fairy,,2,0,0,0.6,7.8,60,80,50,40,40,30,300
210,1,2101,Granbull,Fairy,,2,0,0,1.4,48.7,90,120,75,60,60,45,450
211,1,2111,Qwilfish,Water,Poison,2,0,0,0.5,3.9,65,95,85,55,55,85,440
212,1,2121,Scizor,Bug,Steel,2,0,0,1.8,118,70,130,100,55,80,65,500
212,2,2122,Mega Scizor,Bug,Steel,2,0,1,2.0,125,70,150,140,65,100,75,600
213,1,2131,Shuckle,Bug,Rock,2,0,0,0.6,20.5,20,10,230,10,230,5,505
214,1,2141,Heracross,Bug,Fighting,2,0,0,1.5,54,80,125,75,40,95,85,500
214,2,2142,Mega Heracross,Bug,Fighting,2,0,1,1.7,62.5,80,185,115,40,105,75,600
215,1,2151,Sneasel,Dark,Ice,2,0,0,0.9,28,55,95,55,35,75,115,430
216,1,2161,Teddiursa,Normal,,2,0,0,0.6,8.8,60,80,50,50,50,40,330
217,1,2171,Ursaring,Normal,,2,0,0,1.8,125.8,90,130,75,75,75,55,500
218,1,2181,Slugma,Fire,,2,0,0,0.7,35,40,40,40,70,40,20,250
219,1,2191,Magcargo,Fire,Rock,2,0,0,0.8,55,60,50,120,90,80,30,430
220,1,2201,Swinub,Ice,Ground,2,0,0,0.4,6.5,50,50,40,30,30,50,250
221,1,2211,Piloswine,Ice,Ground,2,0,0,1.1,55.8,100,100,80,60,60,50,450
222,1,2221,Corsola,Water,Rock,2,0,0,0.6,5,65,55,95,65,95,35,410
222,2,2222,Corsola,Ghost,,8,0,0,0.6,0.5,65,55,100,65,100,30,415
223,1,2231,Remoraid,Water,,2,0,0,0.6,12,35,65,35,65,35,65,300
224,1,2241,Octillery,Water,,2,0,0,0.9,28.5,75,105,75,105,75,45,480
225,1,2251,Delibird,Ice,Flying,2,0,0,0.9,16,45,55,45,65,45,75,330
226,1,2261,Mantine,Water,Flying,2,0,0,2.1,220,85,40,70,80,140,70,485
227,1,2271,Skarmory,Steel,Flying,2,0,0,1.7,50.5,65,80,140,40,70,70,465
228,1,2281,Houndour,Dark,Fire,2,0,0,0.6,10.8,45,60,30,80,50,65,330
229,1,2291,Houndoom,Dark,Fire,2,0,0,1.4,35,75,90,50,110,80,95,500
229,2,2292,Mega Houndoom,Dark,Fire,2,0,1,1.9,49.5,75,90,90,140,90,115,600
230,1,2301,Kingdra,Water,Dragon,2,0,0,1.8,152,75,95,95,95,95,85,540
231,1,2311,Phanpy,Ground,,2,0,0,0.5,33.5,90,60,60,40,40,40,330
232,1,2321,Donphan,Ground,,2,0,0,1.1,120,90,120,120,60,60,50,500
233,1,2331,Porygon2,Normal,,2,0,0,0.6,32.5,85,80,90,105,95,60,515
234,1,2341,Stantler,Normal,,2,0,0,1.4,71.2,73,95,62,85,65,85,465
235,1,2351,Smeargle,Normal,,2,0,0,1.2,58,55,20,35,20,45,75,250
236,1,2361,Tyrogue,Fighting,,2,0,0,0.7,21,35,35,35,35,35,35,210
237,1,2371,Hitmontop,Fighting,,2,0,0,1.4,48,50,95,95,35,110,70,455
238,1,2381,Smoochum,Ice,Psychic,2,0,0,0.5,6,45,30,15,85,65,65,305
239,1,2391,Elekid,Electric,,2,0,0,0.6,23.5,45,63,37,65,55,95,360
240,1,2401,Magby,Fire,,2,0,0,0.7,21.4,45,75,37,70,55,83,365
241,1,2411,Miltank,Normal,,2,0,0,1.2,75.5,95,80,105,40,70,100,490
242,1,2421,Blissey,Normal,,2,0,0,1.5,46.8,255,10,10,75,135,55,540
243,1,2431,Raikou,Electric,,2,1,0,1.9,178,90,85,75,115,100,115,580
244,1,2441,Entei,Fire,,2,1,0,2.1,198,115,115,85,90,75,100,580
245,1,2451,Suicune,Water,,2,1,0,2.0,187,100,75,115,90,115,85,580
246,1,2461,Larvitar,Rock,Ground,2,0,0,0.6,72,50,64,50,45,50,41,300
247,1,2471,Pupitar,Rock,Ground,2,0,0,1.2,152,70,84,70,65,70,51,410
248,1,2481,Tyranitar,Rock,Dark,2,0,0,2.0,202,100,134,110,95,100,61,600
248,2,2482,Mega Tyranitar,Rock,Dark,2,0,1,2.0,255,100,164,150,95,120,71,700
249,1,2491,Lugia,Psychic,Flying,2,1,0,5.2,216,106,90,130,90,154,110,680
250,1,2501,Ho-Oh,Fire,Flying,2,1,0,3.8,199,106,130,90,110,154,90,680
251,1,2511,Celebi,Psychic,Grass,2,1,0,0.6,5,100,100,100,100,100,100,600
252,1,2521,Treecko,Grass,,3,0,0,0.5,5,40,45,35,65,55,70,310
